title,area,Diện tích đất:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tầng số:,Hướng ban công:,Đặc điểm căn hộ:,Loại hình văn phòng:,street,ward,district,city,Phân khu/Lô/Block/Tháp,has_floor_number,Price (trieu VND)
1TRỆT 2 LẦU 3 PHÒNG NGỦ 1 PHÒNG TẬP GYM 3WC,33.0,33.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,3.0,11.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,99.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường số 3,phường 9,quận gò vấp,tp hồ chí minh,Không thuộc project/block,0,3650.0
Bán nhà 90m gần ngay Bệnh Viện Nhi Đồng 3,90.0,90.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,18.0,2.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,70.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường trương văn đa,xã tân nhựt,huyện bình chánh,tp hồ chí minh,Không thuộc project/block,0,950.0
Nhà như hình đường 8m 2 lầu đúc thật dt 4x13m,52.0,52.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,18.0,4.0,5.0,"Nhà ngõ, hẻm",Nội thất cao cấp,70.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường nguyễn quý yêm,phường an lạc,quận bình tân,tp hồ chí minh,Không thuộc project/block,0,4500.0
"Bán nhà nhỏ 1t1 lầu hẻm đường 475 PLB Q9 2,1tỷ",27.0,27.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.0,9.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,40.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường 475,phường phước long b,quận 9,tp hồ chí minh,Không thuộc project/block,0,2100.0
ĐẤT NÔNG NGHIỆP MẶT TIỀN KÊNH ĐT 818 1000m2,1000.0,1000.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,11.0,88.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,40.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường đt 818,xã tân thành,huyện thủ thừa,long an,Không thuộc project/block,0,550.0
"Kẹt tiền bán nhà nát đường Thành Thái, Q. 10",62.0,62.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,5.0,12.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất cao cấp,60.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường thành thái,phường 15,quận 10,tp hồ chí minh,Không thuộc project/block,0,1120.0
"Đất đẹp nghỉ dưỡng Huyện Di Linh 5.400m² , có sổ",5400.0,5400.0,Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,50.0,100.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất cao cấp,60.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,thôn lộc châu 2,xã tân nghĩa,huyện di linh,lâm đồng,Không thuộc project/block,0,4500.0
"Bán nhà 1t3l, Mt Đường số 160, tnpa, Q9",93.0,93.0,Đông Nam,Đã có sổ,Nở hậu,Đất nông nghiệp,450.0,2100.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,93.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường 160,phường tăng nhơn phú a,quận 9,tp hồ chí minh,Không thuộc project/block,0,7500.0
Bán Gấp Nhà 320Triệu Tại Nguyễn Văn Bứa Hóc Môn,75.0,75.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,5.0,15.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,75.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường nguyễn văn bứa,Unknown,Unknown,Unknown,Không thuộc project/block,0,320.0
"Đất thổ 103m2, Nguyễn Ảnh Thủ vào 100m, Q.12",103.0,103.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,21.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,75.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường nguyễn ảnh thủ,phường tân chánh hiệp,quận 12,tp hồ chí minh,Không thuộc project/block,0,4390.0
Bán nhà 1 trệt 2 lầu khu Lâu Đài Vàng Lái Thiêu,82.4,82.4,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,16.4,4.0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,180.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường bình đức 2,phường lái thiêu,thị xã thuận an,bình dương,Không thuộc project/block,0,3950.0
"Bán đất Q12, Xe hơi Hiệp thành 01, 61m2(4x15.5m)",61.0,61.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,15.5,4.0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,180.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,hiệp thành 01,phường hiệp thành,quận 12,tp hồ chí minh,Không thuộc project/block,0,2580.0
Bán nhà 124/14/15 Võ Văn Hát quận 9,53.0,53.0,Đông,Đã có sổ,Nở hậu,Đất thổ cư,4.0,13.0,5.0,4.0,Nhà phố liền kề,Nội thất đầy đủ,180.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường võ văn hát,phường long trường,quận 9,tp hồ chí minh,DỰ ÁN TÍN HƯNG,0,4200.0
"Chỉ 2,9 tỷ có nhà mặt ngõ thông, 2 ô tô tránh, KD",34.0,34.0,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,13.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,180.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường kim giang,xã thanh liệt,huyện thanh trì,hà nội,DỰ ÁN TÍN HƯNG,0,2900.0
"Bán đất GIANG BIÊN,2 thoáng,plô,ôtô tránh,72m,MT5m",72.0,72.0,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,13.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,180.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường giang biên,phường giang biên,quận long biên,hà nội,DỰ ÁN TÍN HƯNG,0,3300.0
"H6m thông Kênh 19/5, P.Sơn Kỳ,Q.Tân Phú 5x35",175.0,175.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,35.0,10.0,6.0,"Nhà ngõ, hẻm",Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,kênh 19 tháng 5,phường sơn kỳ,quận tân phú,tp hồ chí minh,DỰ ÁN TÍN HƯNG,0,10500.0
"BÁN RẺ GẤP BIỆT THỰ SÂN VƯỜN Q2 GIÁ 3,5Tỷ, SỔRIÊNG",144.0,144.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,8.0,18.0,4.0,3.0,Nhà biệt thự,Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường quốc hương,phường thảo điền,quận 2,tp hồ chí minh,DỰ ÁN TÍN HƯNG,0,3500.0
nhà cấp 4 MTNB T5 : 8x20. giá: 13.9 tỷ,146.0,146.0,Tây Nam,Đã có sổ,Mặt tiền,Đất thổ cư,8.0,20.0,4.0,3.0,Nhà biệt thự,Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường t5,phường tây thạnh,quận tân phú,tp hồ chí minh,DỰ ÁN TÍN HƯNG,0,13900.0
"CHÍNH CHỦ BÁN HƠN 1 CÔNG ĐẤT LÚA , XÃ LẠC TẤN . TT",1122.0,1122.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,13.5,85.0,4.0,3.0,Nhà biệt thự,Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,tân trụ,xã lạc tấn,huyện tân trụ,long an,DỰ ÁN TÍN HƯNG,0,1100.0
"Bánđất lô góc phố NgôGiaTự,112m,mt 5.7m,giá 42tr/m",112.0,112.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,85.0,4.0,3.0,Nhà biệt thự,Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường ngô gia tự,phường việt hưng,quận long biên,hà nội,DỰ ÁN TÍN HƯNG,0,4700.0
"Nhà 5 tầng,Mới xây,Gần ĐHKS.2,5 tỷ,Bán Gấp",33.0,33.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,85.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường số 1,phường dương nội,quận hà đông,hà nội,DỰ ÁN TÍN HƯNG,0,2500.0
"Đất đẹp gần Big C dĩ, Bình Dương, dt 87m2 giá 2,78",87.0,87.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,22.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường võ thị sáu,phường đông hòa,thị xã dĩ an,bình dương,DỰ ÁN TÍN HƯNG,0,2780.0
"VỞ NỢ BÁN NHÀ 1T1L BẠCH ĐẰNG, BT 55M2-1,2TY. SHR",55.0,55.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,11.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,1.0,-1.0,Unknown,Unknown,Unknown,đường bạch đằng,phường 2,quận bình thạnh,tp hồ chí minh,DỰ ÁN TÍN HƯNG,0,1200.0
Đất sổ riêng. Trảng Bom 110m2,110.0,110.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,22.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,198.0,Đã bàn giao,67.0,Chung cư,1.0,-1.0,Unknown,Unknown,Unknown,đường sông thao,xã hưng thịnh,huyện trảng bom,đồng nai,DỰ ÁN TÍN HƯNG,0,525.0
Về quê bán gấp chung cư gò dầu 2 Quận Tân Phú 2pn,40.0,110.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,22.0,2.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,198.0,Đã bàn giao,40.0,Chung cư,1.0,2.0,Nam,Unknown,Unknown,trương vinh ky,phường tân quý,quận tân phú,tp hồ chí minh,B,1,1500.0
"3 căn nhà liền kề Ấp Bình Tạo, Trung An",64.0,64.0,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,8.0,8.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất cao cấp,64.0,Đã bàn giao,40.0,Chung cư,1.0,2.0,Nam,Unknown,Unknown,ngô gia tự,xã trung an,thành phố mỹ tho,tiền giang,B,1,850.0
Đất Vườn Nhãn 2600m2 Cách Suối Nước Nóng 800m,,2600.0,Tây,Đã có sổ,Mặt tiền,Đất thổ cư,26.0,100.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất cao cấp,64.0,Đã bàn giao,40.0,Chung cư,1.0,2.0,Nam,Unknown,Unknown,đường quốc lộ 55,xã bình châu,huyện xuyên mộc,bà rịa - vũng tàu,B,1,4680.0
Nhà Mặt tiền Phạm Văn Đồng kế bên GiGaMall Thủ Đức,60.0,60.0,Tây,Đã có sổ,Mặt tiền,Đất thổ cư,4.0,14.0,5.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,210.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường phạm văn đồng,Unknown,Unknown,Unknown,B,1,8300.0
Cần bán gấp đất khu dân cư Thị xã Thuận An,64.0,64.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,12.0,5.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,210.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường lê thị trung,phường an phú,thị xã thuận an,bình dương,KHU DÂN CƯ AN PHÚ HƯNG,1,1350.0
Chính Chủ Bán Gấp Nền Đất 44m2 Lại Hùng Cường,44.0,44.0,Đông Nam,Đã có sổ,Mặt tiền,Đất nền dự án,4.0,11.0,5.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,210.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường lại hùng cường,xã vĩnh lộc b,huyện bình chánh,tp hồ chí minh,KHU DÂN CƯ AN PHÚ HƯNG,1,239.0
"Nhà mt Nguyễn Thị Minh Khai 5m giá chỉ 4,3 tỷ",110.0,110.0,Nam,Đã có sổ,Mặt tiền,Đất nền dự án,5.0,22.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,110.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường nguyễn thị minh khai,phường thành công,thành phố buôn ma thuột,đắk lắk,KHU DÂN CƯ AN PHÚ HƯNG,1,4300.0
"Bán đất thổ cư mặt tiền hẻm 1127, Bình Chiểu, TĐ",51.26,51.26,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.02,12.5,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,110.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường tỉnh lộ 43,phường bình chiểu,quận thủ đức,tp hồ chí minh,KHU DÂN CƯ AN PHÚ HƯNG,1,1350.0
"CHỐT NHANH LÔ MT MAI CHÍ THỌ, 60M²/ 730TR, SHR",60.0,60.0,Đông Nam,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,12.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,110.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường mai chí thọ,phường bình khánh,quận 2,tp hồ chí minh,KHU DÂN CƯ AN PHÚ HƯNG,1,730.0
KẸT TIỀN BÁN GẤP NHÀ 1T1L Đ.ĐẶNG CHẤT Q8 S.H.RIÊNG,40.0,40.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,10.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,80.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường đặng chất,phường 4,quận 8,tp hồ chí minh,KHU DÂN CƯ AN PHÚ HƯNG,1,850.0
"KHÔNG TRẢ GIÁ ! NHÀ MT NGUYỄN THỊ ĐỊNH, 780TR/60M²",60.0,60.0,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,12.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường nguyễn thị định,phường cát lái,quận 2,tp hồ chí minh,KHU DÂN CƯ AN PHÚ HƯNG,1,780.0
"đất làm kho , xưởng nhỏ giá rẻ đường Hai Bà Trưng",240.0,240.0,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,12.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường hai bà trưng,phường đông hòa,thị xã dĩ an,bình dương,KHU DÂN CƯ AN PHÚ HƯNG,1,4400.0
Bán nhà 3 tầng FULL nội thất trung tâm Thanh Khê,100.0,100.0,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,12.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,3.0,2.0,Nam,Unknown,Unknown,đường hà huy tập,phường an khê,quận thanh khê,đà nẵng,KHU DÂN CƯ AN PHÚ HƯNG,1,6500.0
"Nhà MỚI trệt 3 lầu , HXH Nguyễn Thái Sơn , 4.2*14",58.8,58.8,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.2,14.0,5.0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,nguyễn thái sơn,phường 5,quận gò vấp,tp hồ chí minh,KHU DÂN CƯ AN PHÚ HƯNG,1,7600.0
Click ngay!!! Để xem lô đất ai cũng thích này nhé!,200.0,200.0,Tây Nam,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,40.0,5.0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,ql22,thị trấn gò dầu,huyện gò dầu,tây ninh,Không thuộc project/block,1,438.0
Chính chủ đất trung tâm thị xã,125.0,125.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,25.0,5.0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,đường nơ trang long,phường phú thịnh,thị xã bình long,bình phước,Không thuộc project/block,1,550.0
Bán đất HXH Đồng Khởi Biên Hoà 5x20m chỉ 890 trệu,100.0,100.0,Tây Nam,Giấy tờ khác,Hẻm xe hơi,Đất thổ cư,5.0,20.0,5.0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,đồng khởi,phường trảng dài,thành phố biên hòa,đồng nai,Không thuộc project/block,1,890.0
"🔥 Nhà mới Hoàng Hoa Thám-Bình Thạnh, ~35m2, 3tỷx",35.0,35.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,20.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,60.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,đường hoàng hoa thám,phường 6,quận bình thạnh,tp hồ chí minh,Không thuộc project/block,1,3650.0
Bán nhà 2lầu hẻm 115 phạm hữu lầu q7,70.0,70.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,8.0,12.0,5.0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,96.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,đường phạm hữu lầu,phường phú mỹ,quận 7,tp hồ chí minh,Không thuộc project/block,1,5600.0
Xả hết gần tết chỉ 2xxtr có ngay đất ấp 1,110.0,110.0,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,22.0,5.0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,96.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,sông trầu16,xã sông trầu,huyện trảng bom,đồng nai,Không thuộc project/block,1,285.0
Cần Bán Lô Đất Biệt Thự mặt tiền đường 10m5 lề 5m,150.0,150.0,Đông Nam,Đã có sổ,Mặt tiền,Đất thổ cư,10.0,15.0,5.0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,96.0,Đã bàn giao,40.0,Chung cư,4.0,2.0,Nam,Unknown,Unknown,đường phan bá vành,phường nại hiên đông,quận sơn trà,đà nẵng,Không thuộc project/block,1,5700.0
Tòa văn phòng 9 tầng. Trung tâm Hải Châu. Bán gấp,121.0,121.0,Tây,Đã có sổ,Mặt tiền,Đất thổ cư,6.5,20.0,9.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,1300.0,Đã bàn giao,40.0,Chung cư,9.0,2.0,Nam,Unknown,Unknown,đường núi thành,phường hòa thuận đông,quận hải châu,đà nẵng,Không thuộc project/block,1,30000.0
Căn GÓC CC Gò Dầu 2 DT 76M 3PN Lầu 1 SHR,,121.0,Tây Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6.5,20.0,3.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,1300.0,Đã bàn giao,76.0,Chung cư,9.0,1.0,Đông Bắc,Căn góc,Unknown,đường trương vĩnh ký,phường tân sơn nhì,quận tân phú,tp hồ chí minh,Không thuộc project/block,1,1980.0
"Nhà 4x10 trệt lầu, SHR Nguyễn Thị Kiểu Q12 giá rẻ",40.0,40.0,Tây,Đang chờ sổ,Mặt tiền,Đất thổ cư,4.0,10.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Đã bàn giao,76.0,Chung cư,2.0,1.0,Đông Bắc,Căn góc,Unknown,đường nguyễn thị kiểu,phường hiệp thành,quận 12,tp hồ chí minh,Không thuộc project/block,1,2700.0
"Nhà hẻm xe hơi đỗ cổng Thiên Phươc, P9, Tân Bình,",70.0,70.0,Tây,Đã có sổ,Nở hậu,Đất thổ cư,4.3,13.0,6.0,5.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,240.0,Đã bàn giao,76.0,Chung cư,4.0,1.0,Đông Bắc,Căn góc,Unknown,thiên phước,phường 9,quận tân bình,tp hồ chí minh,Không thuộc project/block,1,7900.0
