title,price,area,location,description,Diện tích đất:,Giá/m2:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tên phân khu/Lô/Block/Tháp:,Mã căn / Mã căn hộ:,Tầng số:,Hướng ban công:,Mã lô:,Đặc điểm căn hộ:,Loại hình văn phòng:,location_clean,street,ward,district,city,ten_phan_khu_final,planA_log
Tôi bán nhà xây mới 100% 4 lầu tặng nội thất 1%MG,5500000000,36.3,"Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","Tôi cần bán nhà mới xây 100% đường Lê Quang định. Bình thạnh 

DT : 4,7m * 7,5m. Nở Hậu 6,10m Công Nhận : 36,5m2.
Kết Cấu: 1 Trệt, 2 Lầu, Sân thượng Đúc. Có 3PN, 4WC . Căn Góc 2 mặt hẻm Thoáng Mát
Khu Dân Trí Cao - sang trọng- lịch sự 
Hẻm Nội Bộ 3 Căn Nhà. Cách 10m Ra HXH Quay Đầu.
Giá bán: 5,5 Tỷ TL
Phí aecmg 1%.",36.3,152780000,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,4.7,7.5,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"đường lê quang định, phường 11, quận bình thạnh, tp hồ chí minh",đường lê quang định,phường 11,quận bình thạnh,tp hồ chí minh,Không thuộc project/block,
BÁN NỀN KHU DÂN CƯ MINH THẮNG,1570000000,115.0,"KHU DÂN CƯ MINH THẮNG - CÀ MAU, Phường 9, Thành phố Cà Mau, Cà Mau","🍁Cần bán gấp lô đất nhà phố khu Minh Thắng, diện tích 115.8m2.
(Tặng ngay bộ thiết kế nhà hiện đại khu Minh Thắng trị giá 50tr đồng).
🍁Đường số 7, lòng đường đã thảm nhựa 8m, vỉa hè đã lót gạch 4,25m.
🍁Hệ thống điện âm 
Diện tích 6*19.3m = 115.8m2.
🍁Hướng Đông Bắc.
🍁Pháp lý: Sổ đỏ riêng.
🍁 Vị Trí: Khu Minh Thắng đang đấu nối ra đường Nguyễn Trãi.
Đường Tạ Uyên đang làm và đấu nối qua phường 8.
Bệnh viện TN thành phố Cà Mau đang thi công.
🍁Trường học từ mẫu giáo đến cấp 3 ở sát bên (bán kính 500m).
Khách sạn Mường Thanh, siêu thị và các shophouse Vincom, trung tâm Hội nghị tỉnh,... Cách 1km.
Các dự án: Licogi, phát triển nhà, tái định cư phường 1,... Sát bên. Hứa hẹn thành khu vực sầm uất nhì Cà Mau.
🍁Giá chính chủ 1ty570 (giá công ty và thị trường hiện là 1 tỷ 700tr)",115.0,13650000,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6.0,19.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"khu dân cư minh thắng - cà mau, phường 9, thành phố cà mau, cà mau",khu dân cư minh thắng - cà mau,phường 9,thành phố cà mau,cà mau,Không thuộc project/block,
Đất nền giá đầu tư becamex,580000000,250.0,"QL13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương","🔥ĐẤT NỀN TRUNG TÂM HÀNH CHÍNH BÀU BÀNG🔥
🌝🌝 Sổ hồng sẵn,riêng từng nền. 🌝🌝
❌GIÁ CHỈ 580tr/NỀN ❌
#ngân hàng hỗ trợ đến 70%
- Thổ cư 100%, điện âm, nước máy.
- Đường nhựa 16-25m.
- Bán kính 500m : Chợ, TTHC, Trường học cấp 1,2,3, công viên.
🛑 Có hỗ trợ ngân hàng cho ai tài chính yếu. 
🏛️ Xung quanh dân cư đông đúc kinh doanh buôn bán sầm uất vì cần tiền nên tôi cần bán gấp và giá rất rẻ so với khu vực.
————————————
☎ LIÊN HỆ để biết thêm thông tin",250.0,2320000,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,10.0,25.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"ql13, thị trấn lai uyên, huyện bàu bàng, bình dương",ql13,thị trấn lai uyên,huyện bàu bàng,bình dương,Không thuộc project/block,
Cần bán 3 xào trồng tiêu đang thu hoạch,1000000000,3031.0,"Đường 765, Xã Sông Ray, Huyện Cẩm Mỹ, Đồng Nai","Do không có thời gian chăm sóc, vợ chồng tôi Cần bán lô đất 3 xào đang trồng tiêu, đường chợ ấp 3 Sông Ray đi vô, cách trục đường 765 1,2km, dân cư ở đông. Gần trường, gần chợ. Có hệ thống tưới nhỏ giọt, tiêu đang cho thu hoạch rất đẹp. 
Ngang 51 mét dài 55m , đường rộng, đường thông, xe tải đi vô tư.
Giá cần bán: 1 tỷ trọn sổ
Ai quan tâm liên hệ trực tiếp số điện thoại để thương lượng giá và đi xem đất trực tiếp.",3031.0,329924,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,51.0,55.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"đường 765, xã sông ray, huyện cẩm mỹ, đồng nai",đường 765,xã sông ray,huyện cẩm mỹ,đồng nai,Không thuộc project/block,
"Bán đất 440m2 (6 x 72) mặt tiền Tỉnh lộ 934, ST",580000000,440.0,"Đường Tỉnh lộ 934, Xã Viên Bình, Huyện Trần Đề, Sóc Trăng","Ngang 6x72m (440m2), thổ cư 100m2, đất trồng cây lâu năm 340m2
Đất đã xây dựng tường rào bao quanh cao 1m5, cổng sắt kiên cố cao 6m (kiểu biệt thự)
Vị trí lô đất rất thuận lợi như: mặt trước và sau lô đất đều giáp mặt sông, gần ubnd xã Viên Bình, gần trường học, bệnh viện, đặc biệt nằm ngay trục đường chính đi tàu cao tốc đi Sóc Trăng - Côn Đảo
Giá bán 580.000.000 đồng (thương lượng nhẹ)",440.0,1320000,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6.0,72.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"đường tỉnh lộ 934, xã viên bình, huyện trần đề, sóc trăng",đường tỉnh lộ 934,xã viên bình,huyện trần đề,sóc trăng,Không thuộc project/block,
"Nhà Chính Chủ, Tô Ký ,Q12.Bao sang tên công chứng.",720000000,45.0,"Đường Tô Ký, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","Vì tình hình kinh tế khó khăn mình cần tiền, muốn bán lại nhà riêng gần ngay công viên phần mềm Quang Trung, quận 12.

+ Tặng full nội thất cao cấp, vào ở ngay!

+ Nhà 1 trệt 1 lầu: đúc kiên cố bao đẹp và chắc chắn vì nhà mới xây được gần một năm nên còn rất mới và đẹp.

+ Diện tích sử dụng 45m2 (gồm 3 phòng ngủ, 2 nhà vệ sinh)

+ Nhà gần các hướng đi trung tâm thành phố, đi Gò Vấp 5 phút, đi Thủ Đức 10 phút, và tiện các hướng đi lại cho việc đi làm các quận trong trung tâm thành phố.

+ Nằm ngay sau cầu vượt Quang Trung, cách Chợ Cầu 2 phút, nhà trẻ nằm ngay sau lưng, trường tiểu học Nguyễn Du kế bên.

+ Nhà có thể cho thuê với mức giá 4_5 triệu/tháng vì nhu cầu thuê nhà của sinh viên trường cao đẳng gần nhà là rất lớn.
Liên hệ : Khang để pik thêm thông tin và thương lượng bớt lộc.",45.0,16000000,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,9.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,45.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"đường tô ký, phường đông hưng thuận, quận 12, tp hồ chí minh",đường tô ký,phường đông hưng thuận,quận 12,tp hồ chí minh,Không thuộc project/block,
"BÁN ĐẤT SƠN ĐÔNG, 100% THỔ CƯ, GẦN BÙNG BINH MŨ",1300000000,198.0,"Quốc Lộ 60, Xã Sơn Đông, Thành phố Bến Tre, Bến Tre","🌍 Vị trí: QL60, Sơn Đông, TP Bến Tre.
🏠 Diện tích: 197.8m2, ngang 8m, 100% thổ cư.
⛳ Cách bùng binh Mũ chỉ 150m, khu dân cư đông đúc.
🎯 Phù hợp để ở hoặc đầu tư.
💰 Giá bán: 1.3 tỷ (TL chủ)",198.0,6570000,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,8.0,9.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,45.0,Đã bàn giao,67.0,Chung cư,4.0,,,,other,,other,other,"quốc lộ 60, xã sơn đông, thành phố bến tre, bến tre",quốc lộ 60,xã sơn đông,thành phố bến tre,bến tre,Không thuộc project/block,inconsistent_area
🔰BÁN GẤP NHÀ 2 LẦU XÂY MỚI 100% - Đ.PHAN HUY CHÚ,4600000000,70.0,"Đường Phan Huy Chú, Phường An Khánh, Quận Ninh Kiều, Cần Thơ","--CHỦ KẸT TIỀN GIẢM NGAY 400 TRIỆU--

NHÀ MỚI XÂY 1 TRỆT 2 LẦU CỔ ĐIỂN - MẶT TIỀN ĐƯỜNG PHAN HUY CHÚ - CÁCH CHỢ AN KHÁNH CHỈ 80M 

- Diện tích: 5m x 14m = 70m2. DTSD = 210m2 
- Pháp lý thổ cư 100%, sổ hồng hoàn công
- Hướng Tây Nam
- Lộ giới 12m (3-6-3)
- Kết cấu nhà gồm: 1P khách, 4P ngủ rộng, Nhà bếp + 4Wc, sân sau + ban công thoáng mát, nhà thiết kế cổ điển cao cấp.
- Vị trí nhà rất đẹp nằm trên mặt tiền đường thông thoáng. Cách Chợ An Khánh chỉ 80m, UBND-CAND chỉ 150m, đại học Y Dược 300m, trướng cấp 1,2,3 chỉ 200m, tiện ích đầy đủ.
- Giá Cũ: 5 tỉ
- Giá Mới: 4 tỉ 600 triệu",70.0,65710000,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,14.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,210.0,Đã bàn giao,67.0,Chung cư,2.0,,,,other,,other,other,"đường phan huy chú, phường an khánh, quận ninh kiều, cần thơ",đường phan huy chú,phường an khánh,quận ninh kiều,cần thơ,Không thuộc project/block,
"Nhà hẻm 171 Lý Thái Tổ ,Tân Lợi.BMT",5700000000,215.0,"Đường Lý Thái Tổ, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","Nhà mê 171 Lý Thái Tổ hướng Tây Nam
Ngay Nguyễn hữu thọ
9.3 x 28 nở hậu 12 chữ L
Hẻm thông hà huy tập 2 xe tải né nhau 
Gồm:
+ 3 phòng ngủ 
+ 1 phòng khách 
+ 1 phòng thờ
+ 2 wc
+ sân để ôtô rộng 
+ giàn lan + bể cá coi + hòn non bộ...
Gần metro - coopmart - công an Tp- làng CF 

--------------------------------------------- 
Giá 5tỷ7",215.0,26510000,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,9.0,28.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,215.0,Đã bàn giao,67.0,Chung cư,2.0,,,,other,,other,other,"đường lý thái tổ, phường tân lợi, thành phố buôn ma thuột, đắk lắk",đường lý thái tổ,phường tân lợi,thành phố buôn ma thuột,đắk lắk,Không thuộc project/block,
Siêu phẩm nhà Vĩnh Quỳnh 40m2 Ôtô vào nhà 2.3 tỷ,2300000000,40.0,"Vĩnh Quỳnh, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội","Bán nhà Vĩnh Quỳnh-Thanh Trì 40m2 phân lô Ôtô vào nhà,kinh doanh sầm uất giá 2.3 tỷ
-Vị trí trước nhà đẹp thông thoáng,nằm trong khu phân lô,ô tô vào nhà.
-Khu vực dân cư đông đúc,kinh doanh sầm uất.An ninh tốt,hàng xóm láng giềng thân thiện
-Cách đường quốc lộ 1a 300m,giao thông kết nối Ngọc Hồi,Đại Áng,Tứ Hiệp
+ Chủ xây cực kỳ chắc chắn,thiết kết 5 tầng
Tầng 1: Gara + phòng khách + bếp + WC.
Tầng 2,3,4: Mỗi tầng 2 phòng ngủ + WC.
Tầng 5: Phòng thờ + sân phơi. 
+ Sổ đỏ chính chủ,sẵn sàng giao dịch
+Giá: 2.3 tỷ có thương lượng",40.0,57500000,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,9.0,28.0,4.0,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Đã bàn giao,67.0,Chung cư,5.0,,,,other,,other,other,"vĩnh quỳnh, xã ngọc hồi, huyện thanh trì, hà nội",vĩnh quỳnh,xã ngọc hồi,huyện thanh trì,hà nội,Không thuộc project/block,inconsistent_area
"Bán nhà mặt tiền chợ Hoàng Hoa Thám, p13, qTB",24000000000,74.4,"Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","Ngang 4x18,6 nhà 3 lầu (đường 12m, lề 6m)
Khu VIP Tân Bình tập trung nhiều tiện ích gồm: trục chính nhà ga sân bay T3 (600m), nhà ga Metro Nguyễn Hồng Đào (400m), sát chợ Hoàng Hoa Thám (10m), ngân hàng, trường học, bệnh viện,...
Khu vực rất hiếm nhà bán, tiện ở hoặc cho thuê (hiện đang cho thuê một phần mặt tiền tầng trệt giá 25tr/ tháng)
Giá 24tỷ (thương lượng nhẹ)
Miễn tiếp đăng quảng cáo",74.4,324320000,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,18.6,6.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,198.0,Đã bàn giao,67.0,Chung cư,5.0,,,,other,,other,other,"đường hoàng hoa thám, phường 13, quận tân bình, tp hồ chí minh",đường hoàng hoa thám,phường 13,quận tân bình,tp hồ chí minh,Không thuộc project/block,
1TRỆT 2 LẦU 3 PHÒNG NGỦ 1 PHÒNG TẬP GYM 3WC,3650000000,33.0,"Đường Số 3, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","NHÀ BÁN ĐS 3, P9, Gò Vấp
🍎DT: 3 m nở hậu 3,10 m x 11 m 
🍏1 trệt 2 lầu 3 phòng ngủ 3 wc 1 p tập GYM
Bếp - phòng khách đẹp full toàn nội thất trong nhà
🍎Tặng : 1 máy giặt - 1 máy sấy - 3 máy lạnh - 1 tủ lạnh - tivi 55in giường - bàn phấn- bàn Sofa - bàn ăn bếp - máy tập thể dục - cầu thang ốp gỗ và vàng v v ( nhà y như hình)
💰Giá 3 tỷ 650tr bớt Lộc",33.0,110610000,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,3.0,11.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,99.0,Đã bàn giao,67.0,Chung cư,5.0,,,,other,,other,other,"đường số 3, phường 9, quận gò vấp, tp hồ chí minh",đường số 3,phường 9,quận gò vấp,tp hồ chí minh,Không thuộc project/block,
Bán nhà 90m gần ngay Bệnh Viện Nhi Đồng 3,950000000,90.0,"36, Đường Trương Văn Đa, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",Tôi chính chủ cần bán căn nhà mặt tiền đường Trương Văn Đa. Sát ngay bệnh Viện Nhi Đồng 3. Gần đường Võ Trần Trí. Đi tới quận 1 chỉ mất 35p hướng đường Võ Văn Kiệt.,90.0,10560000,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,18.0,2.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,70.0,Đã bàn giao,67.0,Chung cư,5.0,,,,other,,other,other,"36, đường trương văn đa, xã tân nhựt, huyện bình chánh, tp hồ chí minh",đường trương văn đa,xã tân nhựt,huyện bình chánh,tp hồ chí minh,Không thuộc project/block,
